category,term,course_name,credit,major_type,status,checker
MUST,,수학1,3,전공기반,이수예정,
MUST,,물리학1,3,전공기반,이수예정,
MUST,,이산수학,3,전공기반,이수예정,
MUST,,프로그래밍 기초,6,공학전공,이수예정,
MUST,,자료구조,3,공학전공,이수예정,
MUST,,자바프로그래밍,3,공학전공,이수예정,
MUST,,시스템프로그래밍,3,공학전공,이수예정,
MUST,,컴퓨터구조,3,공학전공,이수예정,
MUST,,운영체제,3,공학전공,이수예정,
MUST,,알고리즘1,3,공학전공,이수예정,
MUST,,기초창의공학설계,3,공학전공,이수예정,
MUST,,종합설계프로젝트1,3,공학전공,이수예정,
MUST,,종합설계프로젝트2,3,공학전공,이수예정,
NORMAL,1-1,,0,전공기반,이수예정,
NORMAL,1-1,,0,공학전공,이수예정,
NORMAL,1-1,,0,교양,이수예정,
NORMAL,1-2,,0,전공기반,이수예정,
NORMAL,1-2,,0,공학전공,이수예정,
NORMAL,1-2,,0,교양,이수예정,
NORMAL,2-1,,0,전공기반,이수예정,
NORMAL,2-1,,0,공학전공,이수예정,
NORMAL,2-1,,0,교양,이수예정,
NORMAL,2-2,,0,전공기반,이수예정,
NORMAL,2-2,,0,공학전공,이수예정,
NORMAL,2-2,,0,교양,이수예정,
NORMAL,3-1,,0,전공기반,이수예정,
NORMAL,3-1,,0,공학전공,이수예정,
NORMAL,3-1,,0,교양,이수예정,
NORMAL,3-2,,0,전공기반,이수예정,
NORMAL,3-2,,0,공학전공,이수예정,
NORMAL,3-2,,0,교양,이수예정,
NORMAL,4-1,,0,전공기반,이수예정,
NORMAL,4-1,,0,공학전공,이수예정,
NORMAL,4-1,,0,교양,이수예정,
NORMAL,4-2,,0,전공기반,이수예정,
NORMAL,4-2,,0,공학전공,이수예정,
NORMAL,4-2,,0,교양,이수예정,
NORMAL,이수 계절,,0,전공기반,이수예정,
NORMAL,이수 계절,,0,공학전공,이수예정,
NORMAL,이수 계절,,0,교양,이수예정,
NORMAL,이수예정 계절,,0,전공기반,이수예정,
NORMAL,이수예정 계절,,0,공학전공,이수예정,
NORMAL,이수예정 계절,,0,교양,이수예정,
ETC,,Counsel,0,,,F
ETC,,English,0,,,F
ETC,,SDGs,0,,,F
ETC,,GraduationThesis,0,,,F
